# frame_skip_agent_A, frame_skip_agent_B, episode, score_A, score_B, reward
11,1,0,7,10,-3
11,1,1,13,12,1
11,1,2,11,20,-9
11,1,3,5,6,-1
11,1,4,10,23,-13
11,1,5,5,12,-7
11,1,6,21,10,11
11,1,7,11,17,-6
11,1,8,8,13,-5
11,1,9,7,13,-6
11,1,10,12,12,0
11,1,11,15,12,3
11,1,12,14,9,5
11,1,13,11,27,-16
11,1,14,5,14,-9
11,1,15,11,14,-3
11,1,16,1,3,-2
11,1,17,19,20,-1
11,1,18,6,14,-8
11,1,19,5,11,-6
11,1,20,5,14,-9
11,1,21,5,8,-3
11,1,22,4,7,-3
11,1,23,10,10,0
11,1,24,6,19,-13
11,1,25,12,18,-6
11,1,26,15,15,0
11,1,27,6,15,-9
11,1,28,8,11,-3
11,1,29,3,15,-12
11,1,30,8,5,3
11,1,31,7,9,-2
11,1,32,9,21,-12
11,1,33,16,9,7
11,1,34,10,19,-9
11,1,35,10,17,-7
11,1,36,12,25,-13
11,1,37,18,11,7
11,1,38,10,9,1
11,1,39,8,17,-9
11,1,40,6,8,-2
11,1,41,9,12,-3
11,1,42,4,14,-10
11,1,43,3,12,-9
11,1,44,23,19,4
11,1,45,3,6,-3
11,1,46,9,24,-15
11,1,47,12,12,0
11,1,48,7,17,-10
11,1,49,5,16,-11
11,1,50,5,9,-4
11,1,51,4,6,-2
11,1,52,9,14,-5
11,1,53,17,9,8
11,1,54,5,16,-11
11,1,55,2,9,-7
11,1,56,12,5,7
11,1,57,8,22,-14
11,1,58,7,12,-5
11,1,59,12,9,3
11,1,60,3,14,-11
11,1,61,17,29,-12
11,1,62,19,17,2
11,1,63,5,11,-6
11,1,64,19,14,5
11,1,65,4,13,-9
11,1,66,9,13,-4
11,1,67,10,12,-2
11,1,68,7,14,-7
11,1,69,7,14,-7
11,1,70,12,15,-3
11,1,71,8,16,-8
11,1,72,5,24,-19
11,1,73,9,7,2
11,1,74,25,18,7
11,1,75,6,18,-12
11,1,76,9,13,-4
11,1,77,5,15,-10
11,1,78,6,6,0
11,1,79,4,26,-22
11,1,80,7,4,3
11,1,81,11,8,3
11,1,82,1,7,-6
11,1,83,13,12,1
11,1,84,7,2,5
11,1,85,12,23,-11
11,1,86,8,13,-5
11,1,87,9,16,-7
11,1,88,10,9,1
11,1,89,6,8,-2
11,1,90,11,10,1
11,1,91,14,16,-2
11,1,92,8,9,-1
11,1,93,8,20,-12
11,1,94,9,11,-2
11,1,95,9,3,6
11,1,96,5,12,-7
11,1,97,7,7,0
11,1,98,7,11,-4
11,1,99,8,9,-1
11,1,100,8,16,-8
11,1,101,13,20,-7
11,1,102,0,4,-4
11,1,103,10,21,-11
11,1,104,13,23,-10
11,1,105,15,14,1
11,1,106,13,16,-3
11,1,107,0,12,-12
11,1,108,10,22,-12
11,1,109,17,16,1
11,1,110,13,11,2
11,1,111,18,18,0
11,1,112,13,11,2
11,1,113,10,22,-12
11,1,114,12,16,-4
11,1,115,13,13,0
11,1,116,6,7,-1
11,1,117,9,14,-5
11,1,118,6,15,-9
11,1,119,9,20,-11
11,1,120,6,16,-10
11,1,121,11,12,-1
11,1,122,4,5,-1
