# frame_skip_agent_A, frame_skip_agent_B, episode, score_A, score_B, reward
6,1,0,9,12,-3
6,1,1,16,22,-6
6,1,2,22,10,12
6,1,3,7,19,-12
6,1,4,8,7,1
6,1,5,11,14,-3
6,1,6,8,2,6
6,1,7,10,4,6
6,1,8,5,7,-2
6,1,9,7,6,1
6,1,10,14,15,-1
6,1,11,4,10,-6
6,1,12,6,5,1
6,1,13,12,8,4
6,1,14,17,24,-7
6,1,15,3,8,-5
6,1,16,7,8,-1
6,1,17,6,4,2
6,1,18,7,15,-8
6,1,19,15,15,0
6,1,20,5,6,-1
6,1,21,12,10,2
6,1,22,22,9,13
6,1,23,8,8,0
6,1,24,9,14,-5
6,1,25,4,7,-3
6,1,26,3,10,-7
6,1,27,19,16,3
6,1,28,16,7,9
6,1,29,22,15,7
6,1,30,13,13,0
6,1,31,8,14,-6
6,1,32,4,9,-5
6,1,33,10,10,0
6,1,34,10,13,-3
6,1,35,7,15,-8
6,1,36,5,4,1
6,1,37,6,14,-8
6,1,38,10,8,2
6,1,39,7,10,-3
6,1,40,13,2,11
6,1,41,7,9,-2
6,1,42,4,11,-7
6,1,43,14,4,10
6,1,44,4,7,-3
6,1,45,4,5,-1
6,1,46,11,14,-3
6,1,47,14,11,3
6,1,48,6,11,-5
6,1,49,9,3,6
6,1,50,15,9,6
6,1,51,6,10,-4
6,1,52,11,11,0
6,1,53,18,21,-3
6,1,54,7,10,-3
6,1,55,11,11,0
6,1,56,7,12,-5
6,1,57,5,13,-8
6,1,58,12,13,-1
6,1,59,11,13,-2
6,1,60,8,16,-8
6,1,61,6,1,5
6,1,62,13,22,-9
6,1,63,10,14,-4
6,1,64,11,16,-5
6,1,65,8,11,-3
6,1,66,3,8,-5
6,1,67,8,13,-5
6,1,68,9,22,-13
6,1,69,5,4,1
6,1,70,4,7,-3
6,1,71,15,16,-1
6,1,72,11,15,-4
6,1,73,10,10,0
6,1,74,13,27,-14
6,1,75,14,17,-3
6,1,76,2,9,-7
6,1,77,3,10,-7
6,1,78,6,11,-5
6,1,79,4,7,-3
6,1,80,12,13,-1
6,1,81,9,12,-3
6,1,82,6,8,-2
6,1,83,14,9,5
6,1,84,9,7,2
6,1,85,7,9,-2
6,1,86,12,14,-2
6,1,87,1,9,-8
6,1,88,8,12,-4
6,1,89,11,15,-4
6,1,90,4,7,-3
6,1,91,5,17,-12
6,1,92,7,24,-17
6,1,93,10,4,6
6,1,94,11,13,-2
6,1,95,14,7,7
6,1,96,29,16,13
6,1,97,6,7,-1
6,1,98,10,7,3
6,1,99,14,17,-3
6,1,100,7,5,2
6,1,101,3,2,1
6,1,102,12,13,-1
6,1,103,10,7,3
6,1,104,10,9,1
6,1,105,13,10,3
6,1,106,14,11,3
6,1,107,7,9,-2
6,1,108,4,15,-11
6,1,109,10,6,4
6,1,110,4,11,-7
6,1,111,9,17,-8
6,1,112,7,12,-5
6,1,113,11,10,1
6,1,114,11,6,5
6,1,115,11,18,-7
6,1,116,7,8,-1
6,1,117,5,13,-8
6,1,118,7,12,-5
6,1,119,4,27,-23
6,1,120,17,15,2
6,1,121,13,17,-4
6,1,122,6,15,-9
6,1,123,11,12,-1
6,1,124,5,11,-6
6,1,125,7,19,-12
6,1,126,9,6,3
6,1,127,14,20,-6
6,1,128,14,19,-5
6,1,129,12,9,3
6,1,130,11,11,0
6,1,131,8,5,3
6,1,132,11,10,1
6,1,133,10,14,-4
6,1,134,3,3,0
6,1,135,10,11,-1
6,1,136,7,20,-13
6,1,137,18,7,11
6,1,138,5,18,-13
6,1,139,7,13,-6
6,1,140,10,17,-7
6,1,141,15,33,-18
6,1,142,9,14,-5
6,1,143,19,13,6
6,1,144,15,24,-9
6,1,145,9,19,-10
6,1,146,9,5,4
6,1,147,14,4,10
6,1,148,12,14,-2
6,1,149,13,19,-6
6,1,150,16,17,-1
6,1,151,19,12,7
6,1,152,13,13,0
6,1,153,14,4,10
6,1,154,7,17,-10
6,1,155,12,24,-12
6,1,156,5,11,-6
6,1,157,10,19,-9
6,1,158,10,14,-4
6,1,159,11,16,-5
6,1,160,9,23,-14
6,1,161,6,16,-10
6,1,162,0,1,-1
6,1,163,9,19,-10
6,1,164,7,7,0
6,1,165,17,16,1
6,1,166,5,5,0
6,1,167,14,12,2
6,1,168,15,5,10
6,1,169,5,11,-6
6,1,170,2,8,-6
6,1,171,6,14,-8
6,1,172,9,27,-18
6,1,173,5,6,-1
6,1,174,6,5,1
6,1,175,6,5,1
6,1,176,9,10,-1
6,1,177,14,11,3
6,1,178,9,12,-3
6,1,179,5,5,0
6,1,180,18,17,1
