# frame_skip_agent_A, frame_skip_agent_B, episode, score_A, score_B, reward
26,1,0,8,19,-11
26,1,1,12,12,0
26,1,2,7,18,-11
26,1,3,17,15,2
26,1,4,10,14,-4
26,1,5,10,13,-3
26,1,6,1,8,-7
26,1,7,8,14,-6
26,1,8,9,8,1
26,1,9,5,20,-15
26,1,10,4,16,-12
26,1,11,6,13,-7
26,1,12,2,15,-13
26,1,13,9,13,-4
26,1,14,7,17,-10
26,1,15,7,14,-7
26,1,16,10,20,-10
26,1,17,3,16,-13
26,1,18,7,8,-1
26,1,19,8,7,1
26,1,20,8,19,-11
26,1,21,6,19,-13
26,1,22,19,16,3
26,1,23,1,17,-16
26,1,24,9,7,2
26,1,25,9,12,-3
26,1,26,7,13,-6
26,1,27,6,25,-19
26,1,28,8,8,0
26,1,29,4,22,-18
26,1,30,10,16,-6
26,1,31,11,19,-8
26,1,32,4,7,-3
26,1,33,6,17,-11
26,1,34,7,20,-13
26,1,35,14,10,4
26,1,36,6,15,-9
26,1,37,15,13,2
26,1,38,7,20,-13
26,1,39,12,25,-13
26,1,40,0,13,-13
26,1,41,7,11,-4
26,1,42,6,25,-19
26,1,43,6,18,-12
26,1,44,14,21,-7
26,1,45,10,19,-9
26,1,46,12,16,-4
26,1,47,4,16,-12
26,1,48,6,9,-3
26,1,49,6,25,-19
26,1,50,4,6,-2
26,1,51,13,24,-11
26,1,52,8,12,-4
26,1,53,9,8,1
26,1,54,10,30,-20
26,1,55,8,12,-4
26,1,56,7,17,-10
26,1,57,5,24,-19
26,1,58,5,10,-5
26,1,59,8,16,-8
26,1,60,8,12,-4
26,1,61,10,18,-8
26,1,62,4,12,-8
26,1,63,3,11,-8
26,1,64,5,6,-1
26,1,65,17,25,-8
26,1,66,16,24,-8
26,1,67,10,17,-7
26,1,68,5,13,-8
26,1,69,14,14,0
26,1,70,14,19,-5
26,1,71,2,9,-7
26,1,72,10,28,-18
26,1,73,12,16,-4
26,1,74,3,7,-4
26,1,75,11,18,-7
26,1,76,8,19,-11
26,1,77,6,27,-21
26,1,78,14,14,0
26,1,79,5,11,-6
26,1,80,4,13,-9
26,1,81,14,20,-6
26,1,82,4,22,-18
26,1,83,9,9,0
26,1,84,9,7,2
26,1,85,5,14,-9
26,1,86,9,18,-9
26,1,87,11,26,-15
26,1,88,4,21,-17
26,1,89,8,8,0
26,1,90,6,16,-10
26,1,91,5,23,-18
26,1,92,2,8,-6
26,1,93,10,14,-4
26,1,94,9,18,-9
26,1,95,6,24,-18
26,1,96,11,8,3
26,1,97,7,21,-14
26,1,98,4,7,-3
26,1,99,6,21,-15
26,1,100,11,19,-8
26,1,101,2,6,-4
26,1,102,12,14,-2
26,1,103,10,24,-14
26,1,104,12,20,-8
26,1,105,2,7,-5
26,1,106,6,11,-5
26,1,107,7,27,-20
26,1,108,14,22,-8
26,1,109,3,15,-12
26,1,110,7,16,-9
26,1,111,5,17,-12
26,1,112,11,17,-6
26,1,113,2,19,-17
26,1,114,10,21,-11
26,1,115,16,19,-3
26,1,116,9,23,-14
26,1,117,13,24,-11
26,1,118,6,20,-14
26,1,119,3,21,-18
26,1,120,6,21,-15
26,1,121,4,8,-4
26,1,122,16,24,-8
26,1,123,6,9,-3
26,1,124,7,23,-16
26,1,125,7,17,-10
26,1,126,12,24,-12
26,1,127,1,10,-9
26,1,128,3,35,-32
26,1,129,8,9,-1
26,1,130,5,16,-11
26,1,131,17,15,2
26,1,132,3,21,-18
26,1,133,6,17,-11
26,1,134,9,30,-21
26,1,135,8,19,-11
26,1,136,17,12,5
26,1,137,8,15,-7
26,1,138,7,11,-4
26,1,139,7,9,-2
26,1,140,13,29,-16
26,1,141,4,33,-29
26,1,142,7,11,-4
26,1,143,5,14,-9
26,1,144,9,18,-9
26,1,145,11,18,-7
26,1,146,12,18,-6
26,1,147,3,11,-8
26,1,148,6,5,1
26,1,149,6,10,-4
26,1,150,14,25,-11
26,1,151,5,12,-7
26,1,152,3,6,-3
26,1,153,11,13,-2
26,1,154,6,21,-15
26,1,155,14,17,-3
26,1,156,0,9,-9
26,1,157,4,35,-31
26,1,158,12,14,-2
26,1,159,4,15,-11
26,1,160,6,16,-10
26,1,161,8,24,-16
26,1,162,8,11,-3
26,1,163,7,8,-1
26,1,164,7,9,-2
26,1,165,7,21,-14
26,1,166,9,11,-2
26,1,167,16,9,7
26,1,168,2,17,-15
26,1,169,8,20,-12
26,1,170,11,26,-15
26,1,171,1,13,-12
26,1,172,9,17,-8
26,1,173,3,4,-1
26,1,174,14,26,-12
26,1,175,2,19,-17
26,1,176,19,26,-7
26,1,177,11,11,0
26,1,178,14,18,-4
26,1,179,8,15,-7
26,1,180,9,17,-8
26,1,181,3,11,-8
26,1,182,1,8,-7
26,1,183,0,5,-5
26,1,184,11,26,-15
26,1,185,12,28,-16
26,1,186,8,21,-13
26,1,187,6,22,-16
26,1,188,3,18,-15
26,1,189,4,8,-4
26,1,190,9,16,-7
26,1,191,4,14,-10
26,1,192,0,7,-7
26,1,193,13,19,-6
26,1,194,8,16,-8
26,1,195,7,20,-13
26,1,196,12,11,1
26,1,197,11,15,-4
26,1,198,4,9,-5
26,1,199,11,16,-5
26,1,200,3,14,-11
26,1,201,13,22,-9
26,1,202,5,11,-6
26,1,203,13,25,-12
26,1,204,8,26,-18
26,1,205,4,16,-12
26,1,206,5,5,0
26,1,207,16,21,-5
26,1,208,6,33,-27
26,1,209,5,15,-10
26,1,210,12,21,-9
26,1,211,1,8,-7
26,1,212,8,30,-22
26,1,213,3,18,-15
26,1,214,6,5,1
26,1,215,2,9,-7
26,1,216,8,24,-16
26,1,217,5,15,-10
26,1,218,3,3,0
26,1,219,9,10,-1
26,1,220,13,19,-6
