# frame_skip_agent_A, frame_skip_agent_B, episode, score_A, score_B, reward
21,1,0,10,8,2
21,1,1,19,20,-1
21,1,2,14,42,-28
21,1,3,7,12,-5
21,1,4,5,7,-2
21,1,5,10,10,0
21,1,6,3,9,-6
21,1,7,14,37,-23
21,1,8,12,34,-22
21,1,9,10,27,-17
21,1,10,7,18,-11
21,1,11,8,21,-13
21,1,12,9,9,0
21,1,13,1,14,-13
21,1,14,19,13,6
21,1,15,10,15,-5
21,1,16,10,24,-14
21,1,17,15,22,-7
21,1,18,4,9,-5
21,1,19,7,16,-9
21,1,20,4,10,-6
21,1,21,11,17,-6
21,1,22,8,6,2
21,1,23,4,17,-13
21,1,24,2,17,-15
21,1,25,9,46,-37
21,1,26,5,4,1
21,1,27,6,14,-8
21,1,28,5,11,-6
21,1,29,2,9,-7
21,1,30,8,16,-8
21,1,31,12,31,-19
21,1,32,13,25,-12
21,1,33,0,8,-8
21,1,34,12,14,-2
21,1,35,13,24,-11
21,1,36,15,16,-1
21,1,37,8,24,-16
21,1,38,4,4,0
21,1,39,12,16,-4
21,1,40,7,11,-4
21,1,41,3,16,-13
21,1,42,11,22,-11
21,1,43,4,8,-4
21,1,44,10,18,-8
21,1,45,7,9,-2
21,1,46,2,8,-6
21,1,47,9,12,-3
21,1,48,4,10,-6
21,1,49,13,15,-2
21,1,50,12,9,3
21,1,51,10,10,0
21,1,52,8,19,-11
21,1,53,9,12,-3
21,1,54,10,17,-7
21,1,55,9,15,-6
21,1,56,7,14,-7
21,1,57,8,10,-2
21,1,58,8,16,-8
21,1,59,13,16,-3
21,1,60,4,16,-12
21,1,61,3,8,-5
21,1,62,3,9,-6
21,1,63,4,8,-4
21,1,64,7,11,-4
21,1,65,9,15,-6
21,1,66,4,26,-22
21,1,67,7,9,-2
21,1,68,2,11,-9
21,1,69,9,25,-16
21,1,70,8,12,-4
21,1,71,4,19,-15
21,1,72,13,16,-3
21,1,73,4,22,-18
21,1,74,5,9,-4
21,1,75,5,16,-11
21,1,76,6,7,-1
21,1,77,9,8,1
21,1,78,3,11,-8
21,1,79,11,11,0
21,1,80,9,15,-6
21,1,81,8,23,-15
21,1,82,4,13,-9
21,1,83,8,7,1
21,1,84,2,4,-2
21,1,85,3,13,-10
21,1,86,3,9,-6
21,1,87,8,15,-7
21,1,88,6,14,-8
21,1,89,14,22,-8
21,1,90,12,17,-5
21,1,91,9,13,-4
21,1,92,11,16,-5
21,1,93,4,17,-13
21,1,94,5,17,-12
21,1,95,12,24,-12
21,1,96,4,17,-13
21,1,97,10,18,-8
21,1,98,8,15,-7
21,1,99,16,26,-10
21,1,100,14,9,5
21,1,101,14,16,-2
21,1,102,13,20,-7
21,1,103,3,22,-19
21,1,104,4,17,-13
21,1,105,14,10,4
21,1,106,11,21,-10
21,1,107,4,28,-24
21,1,108,9,9,0
21,1,109,22,23,-1
21,1,110,10,13,-3
21,1,111,23,29,-6
21,1,112,4,8,-4
21,1,113,10,15,-5
21,1,114,9,37,-28
21,1,115,17,22,-5
21,1,116,11,19,-8
21,1,117,8,13,-5
21,1,118,7,9,-2
21,1,119,9,9,0
21,1,120,13,22,-9
21,1,121,7,16,-9
21,1,122,9,31,-22
21,1,123,10,9,1
21,1,124,12,21,-9
21,1,125,16,16,0
21,1,126,6,6,0
21,1,127,10,16,-6
21,1,128,14,22,-8
21,1,129,13,22,-9
21,1,130,9,17,-8
21,1,131,11,19,-8
21,1,132,7,10,-3
21,1,133,7,28,-21
21,1,134,9,9,0
21,1,135,5,8,-3
21,1,136,8,13,-5
21,1,137,13,15,-2
21,1,138,9,9,0
21,1,139,4,19,-15
21,1,140,6,13,-7
21,1,141,8,18,-10
21,1,142,9,20,-11
21,1,143,15,15,0
21,1,144,2,21,-19
21,1,145,6,25,-19
21,1,146,6,11,-5
21,1,147,10,17,-7
21,1,148,7,18,-11
21,1,149,12,16,-4
21,1,150,11,11,0
21,1,151,13,13,0
21,1,152,4,12,-8
21,1,153,18,15,3
21,1,154,9,5,4
21,1,155,6,13,-7
21,1,156,7,6,1
21,1,157,1,8,-7
21,1,158,14,26,-12
