# frame_skip_agent_A, frame_skip_agent_B, episode, score_A, score_B, reward
1,1,0,3,4,-1
1,1,1,17,3,14
1,1,2,13,25,-12
1,1,3,2,0,2
1,1,4,1,8,-7
1,1,5,4,2,2
1,1,6,3,10,-7
1,1,7,5,7,-2
1,1,8,3,2,1
1,1,9,8,11,-3
1,1,10,9,9,0
1,1,11,9,6,3
1,1,12,9,6,3
1,1,13,2,6,-4
1,1,14,3,3,0
1,1,15,1,1,0
1,1,16,3,3,0
1,1,17,14,15,-1
1,1,18,2,7,-5
1,1,19,5,13,-8
1,1,20,3,5,-2
1,1,21,2,0,2
1,1,22,8,19,-11
1,1,23,3,2,1
1,1,24,5,5,0
1,1,25,8,7,1
1,1,26,8,5,3
1,1,27,10,4,6
1,1,28,3,1,2
1,1,29,10,9,1
1,1,30,5,12,-7
1,1,31,7,9,-2
1,1,32,5,2,3
1,1,33,11,10,1
1,1,34,4,17,-13
1,1,35,9,1,8
1,1,36,9,13,-4
1,1,37,6,5,1
1,1,38,8,9,-1
1,1,39,4,6,-2
1,1,40,7,4,3
1,1,41,5,4,1
1,1,42,4,3,1
1,1,43,4,5,-1
1,1,44,8,8,0
1,1,45,1,4,-3
1,1,46,9,6,3
1,1,47,2,7,-5
1,1,48,4,4,0
1,1,49,1,5,-4
1,1,50,5,6,-1
1,1,51,6,5,1
1,1,52,3,4,-1
1,1,53,6,9,-3
1,1,54,6,8,-2
1,1,55,2,6,-4
1,1,56,10,9,1
1,1,57,3,4,-1
1,1,58,3,2,1
1,1,59,10,12,-2
1,1,60,2,4,-2
1,1,61,9,5,4
1,1,62,9,4,5
1,1,63,4,16,-12
1,1,64,4,6,-2
1,1,65,10,12,-2
1,1,66,5,12,-7
1,1,67,7,3,4
1,1,68,0,3,-3
1,1,69,4,5,-1
1,1,70,11,8,3
1,1,71,5,8,-3
1,1,72,3,3,0
1,1,73,5,6,-1
1,1,74,7,10,-3
1,1,75,13,11,2
1,1,76,12,4,8
1,1,77,3,3,0
1,1,78,4,5,-1
1,1,79,3,6,-3
1,1,80,8,7,1
1,1,81,2,0,2
1,1,82,5,5,0
1,1,83,2,2,0
1,1,84,8,9,-1
1,1,85,4,3,1
1,1,86,2,2,0
1,1,87,5,12,-7
1,1,88,5,8,-3
1,1,89,6,12,-6
1,1,90,5,6,-1
1,1,91,7,4,3
1,1,92,12,12,0
1,1,93,5,10,-5
1,1,94,0,0,0
1,1,95,4,7,-3
1,1,96,7,4,3
1,1,97,7,3,4
1,1,98,4,4,0
1,1,99,12,22,-10
1,1,100,3,8,-5
1,1,101,13,8,5
1,1,102,10,8,2
1,1,103,1,0,1
1,1,104,10,6,4
1,1,105,6,4,2
1,1,106,7,11,-4
1,1,107,4,8,-4
1,1,108,18,8,10
1,1,109,2,6,-4
1,1,110,5,7,-2
1,1,111,7,2,5
1,1,112,7,11,-4
1,1,113,3,4,-1
1,1,114,0,1,-1
1,1,115,6,12,-6
1,1,116,8,7,1
1,1,117,3,3,0
1,1,118,8,15,-7
1,1,119,5,3,2
1,1,120,5,1,4
1,1,121,4,7,-3
1,1,122,6,4,2
1,1,123,1,7,-6
1,1,124,7,15,-8
1,1,125,0,0,0
1,1,126,4,4,0
1,1,127,4,4,0
1,1,128,3,4,-1
1,1,129,1,0,1
1,1,130,7,4,3
1,1,131,6,7,-1
1,1,132,12,14,-2
1,1,133,0,0,0
1,1,134,1,2,-1
1,1,135,5,14,-9
1,1,136,2,3,-1
1,1,137,8,7,1
1,1,138,13,9,4
1,1,139,14,2,12
1,1,140,3,5,-2
1,1,141,6,5,1
1,1,142,4,5,-1
1,1,143,3,8,-5
1,1,144,4,11,-7
1,1,145,3,8,-5
1,1,146,14,17,-3
1,1,147,7,3,4
1,1,148,3,4,-1
1,1,149,7,7,0
1,1,150,21,12,9
1,1,151,5,5,0
1,1,152,8,4,4
1,1,153,4,9,-5
1,1,154,3,4,-1
1,1,155,5,8,-3
1,1,156,8,10,-2
1,1,157,15,14,1
1,1,158,14,5,9
1,1,159,2,5,-3
1,1,160,13,6,7
1,1,161,6,6,0
1,1,162,3,13,-10
1,1,163,3,4,-1
1,1,164,2,3,-1
1,1,165,3,5,-2
1,1,166,9,8,1
1,1,167,1,4,-3
1,1,168,8,4,4
1,1,169,2,5,-3
1,1,170,8,4,4
1,1,171,7,6,1
1,1,172,3,2,1
1,1,173,2,4,-2
1,1,174,2,3,-1
1,1,175,1,9,-8
1,1,176,0,0,0
1,1,177,3,5,-2
1,1,178,9,5,4
1,1,179,5,5,0
1,1,180,6,1,5
1,1,181,9,7,2
1,1,182,4,5,-1
1,1,183,6,0,6
1,1,184,3,5,-2
1,1,185,4,4,0
1,1,186,3,6,-3
1,1,187,2,3,-1
1,1,188,1,8,-7
1,1,189,8,14,-6
1,1,190,4,13,-9
1,1,191,10,1,9
1,1,192,3,1,2
1,1,193,2,3,-1
1,1,194,5,12,-7
1,1,195,1,4,-3
1,1,196,7,6,1
1,1,197,5,12,-7
1,1,198,8,10,-2
1,1,199,5,6,-1
1,1,200,2,8,-6
1,1,201,8,7,1
